   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
    1.500000      0.002266      0.025815      0.023549      0.087782      0.005942      0.039279      0.381357      0.657230      0.520756      2.383912      5.468424      0.012739      0.000464
    1.600000      0.001880      0.021290      0.019410      0.088314      0.004968      0.032413      0.378457      0.656825      0.519234      2.369880      5.283282      0.011176      0.000430
    1.700000      0.001547      0.017535      0.015988      0.088223      0.004113      0.026631      0.376135      0.658453      0.520047      2.387897      5.362867      0.009503      0.000314
    1.800000      0.001276      0.014491      0.013215      0.088040      0.003337      0.021948      0.382275      0.660251      0.522650      2.355165      5.381348      0.008179      0.000232
    1.900000      0.001044      0.011970      0.010927      0.087190      0.002827      0.018169      0.369175      0.658849      0.520424      2.294584      5.273440      0.006916      0.000212
    2.000000      0.000857      0.009892      0.009035      0.086662      0.002268      0.014945      0.377954      0.661938      0.524903      2.372129      5.462176      0.005332      0.000143
    2.100000      0.000710      0.008180      0.007470      0.086763      0.001826      0.012397      0.388656      0.659813      0.525206      2.398880      5.327693      0.004595      0.000137
    2.200000      0.000579      0.006747      0.006168      0.085755      0.001477      0.010198      0.391782      0.661623      0.528367      2.411323      5.554513      0.003823      0.000102
    2.300000      0.000480      0.005580      0.005100      0.086103      0.001254      0.008374      0.383048      0.666373      0.529658      2.456066      5.774565      0.003195      0.000061
    2.400000      0.000405      0.004616      0.004211      0.087805      0.001076      0.006949      0.376679      0.664284      0.524707      2.350185      5.250406      0.002744      0.000082
    2.500000      0.000338      0.003827      0.003489      0.088324      0.000871      0.005779      0.387907      0.662217      0.524623      2.366798      5.442173      0.002232      0.000055
    2.600000      0.000280      0.003167      0.002887      0.088291      0.000692      0.004774      0.404013      0.663402      0.528246      2.281159      4.834218      0.001796      0.000075
    2.700000      0.000231      0.002617      0.002386      0.088199      0.000558      0.003943      0.413447      0.663707      0.530112      2.309298      5.384320      0.001659      0.000048
    2.799999      0.000192      0.002167      0.001975      0.088518      0.000499      0.003254      0.384511      0.665907      0.526284      2.301121      4.825377      0.001427      0.000027
    2.899999      0.000162      0.001796      0.001634      0.090312      0.000409      0.002694      0.396111      0.666641      0.526423      2.415999      5.268490      0.001092      0.000020
    2.999999      0.000131      0.001487      0.001356      0.088109      0.000337      0.002227      0.388474      0.667643      0.528751      2.260943      5.232399      0.000990      0.000034
    3.099999      0.000110      0.001227      0.001117      0.089791      0.000308      0.001846      0.357995      0.664826      0.518647      2.203184      4.874142      0.000703      0.000020
    3.199999      0.000092      0.001018      0.000926      0.090400      0.000245      0.001526      0.375613      0.666998      0.522780      2.431584      5.763702      0.000594      0.000034
    3.299999      0.000074      0.000838      0.000764      0.088077      0.000175      0.001272      0.420863      0.658828      0.528000      2.525458      5.676373      0.000580      0.000027
    3.399999      0.000061      0.000691      0.000630      0.087699      0.000159      0.001049      0.381900      0.659028      0.522203      2.344433      5.926124      0.000512      0.000020
    3.499999      0.000049      0.000569      0.000521      0.086040      0.000128      0.000857      0.384218      0.664622      0.528743      2.284742      5.076348      0.000396      0.000007
    3.599999      0.000041      0.000474      0.000434      0.085618      0.000098      0.000714      0.415421      0.663925      0.534010      2.245878      5.308272      0.000369      0.000007
    3.699999      0.000035      0.000392      0.000357      0.089076      0.000095      0.000599      0.369138      0.654569      0.514928      2.321461      4.801840      0.000300      0.000000
    3.799999      0.000028      0.000320      0.000292      0.087758      0.000076      0.000479      0.368389      0.667926      0.525670      2.078270      5.008317      0.000253      0.000000
    3.899998      0.000025      0.000265      0.000240      0.093821      0.000062      0.000397      0.400301      0.668447      0.523688      2.709105      5.570926      0.000205      0.000000
    3.999998      0.000020      0.000218      0.000198      0.093951      0.000048      0.000329      0.428184      0.663671      0.524885      2.655510      5.263505      0.000109      0.000000
    4.099998      0.000019      0.000181      0.000162      0.103315      0.000051      0.000271      0.363561      0.668458      0.503712      2.996682      6.876482      0.000061      0.000000
    4.199998      0.000016      0.000149      0.000133      0.109993      0.000037      0.000231      0.447897      0.646127      0.496306      2.476901      4.549465      0.000061      0.000007
    4.299998      0.000014      0.000121      0.000108      0.112119      0.000035      0.000185      0.388285      0.655115      0.489136      2.556447      3.855206      0.000075      0.000007
    4.399998      0.000010      0.000098      0.000088      0.104781      0.000026      0.000150      0.399914      0.655500      0.500804      2.471206      3.716521      0.000027      0.000007
    4.499998      0.000009      0.000083      0.000074      0.110710      0.000025      0.000124      0.370585      0.672520      0.498010      2.471234      5.689889      0.000041      0.000000
    4.599998      0.000007      0.000068      0.000062      0.100730      0.000018      0.000103      0.383604      0.667499      0.510741      2.254022      5.785985      0.000034      0.000000
    4.699998      0.000006      0.000056      0.000050      0.106762      0.000016      0.000088      0.372461      0.636299      0.480694      2.719733      3.887805      0.000000      0.000000
    4.799998      0.000004      0.000045      0.000040      0.098434      0.000010      0.000064      0.456341      0.699057      0.547665      2.880644      3.668867      0.000014      0.000000
    4.899998      0.000004      0.000038      0.000034      0.105263      0.000008      0.000055      0.487894      0.695021      0.540772      2.778495      4.537313      0.000020      0.000000
    4.999998      0.000003      0.000032      0.000029      0.106250      0.000006      0.000046      0.540313      0.693930      0.545731      2.673031      5.915493      0.000007      0.000000
    5.099998      0.000003      0.000026      0.000024      0.098113      0.000008      0.000039      0.340531      0.677910      0.511494      2.602786      6.079365      0.000007      0.000000
    5.199997      0.000002      0.000022      0.000020      0.100000      0.000005      0.000033      0.463983      0.657439      0.518260      1.455027      3.985507      0.000000      0.000000
    5.299997      0.000002      0.000019      0.000017      0.111111      0.000004      0.000026      0.497096      0.718734      0.550445      1.133621      2.120968      0.000000      0.000000
    5.399997      0.000002      0.000016      0.000014      0.132075      0.000004      0.000024      0.555133      0.670933      0.502161      2.049028      1.748918      0.000014      0.000000
    5.499997      0.000001      0.000012      0.000011      0.115702      0.000003      0.000016      0.457834      0.733506      0.547203      1.411870      2.180556      0.000014      0.000000
    5.599997      0.000001      0.000010      0.000009      0.080000      0.000001      0.000014      0.566684      0.731318      0.609851      3.524272     13.444445      0.000014      0.000000
    5.699997      0.000001      0.000008      0.000007      0.117647      0.000003      0.000012      0.393612      0.695533      0.508081      2.072727      1.809524      0.000007      0.000000
    5.799997      0.000001      0.000007      0.000006      0.101449      0.000002      0.000009      0.358432      0.728299      0.542571      2.411765      3.904762      0.000000      0.000000
    5.899997      0.000000      0.000005      0.000005      0.090909      0.000001      0.000007      0.714151      0.787647      0.650791      1.107143      0.000000      0.000007      0.000000
    5.999997      0.000000      0.000004      0.000004      0.066667      0.000000      0.000006      0.851900      0.807709      0.709044      1.172414      4.533333      0.000007      0.000007
    6.099997      0.000000      0.000004      0.000003      0.055556      0.000000      0.000005      0.595656      0.794995      0.698999      2.121212     17.500000      0.000000      0.000000
    6.199996      0.000000      0.000003      0.000003      0.064516      0.000000      0.000007      0.918906      0.471639      0.427069      Infinity      Infinity      0.000000      0.000000
    6.299996      0.000000      0.000003      0.000002      0.038462      0.000000      0.000003      0.971567      0.809747      0.754420           NaN      Infinity      0.000000      0.000000
    6.399996      0.000000      0.000002      0.000002      0.090909      0.000001      0.000003      0.252340      0.654962      0.481747      Infinity           NaN      0.000007      0.000000
    6.499996      0.000000      0.000002      0.000002      0.055556      0.000001      0.000003      0.169910      0.515510      0.416643      Infinity      0.000000      0.000007      0.000000
    6.599996      0.000000      0.000001      0.000001      0.066667      0.000000      0.000002      0.302515      0.682782      0.553916      Infinity           NaN      0.000007      0.000000
    6.699996      0.000000      0.000001      0.000001      0.000000      0.000000      0.000002      0.000000      0.781118      0.781118           NaN      0.000000      0.000014      0.000000
    6.799996      0.000000      0.000001      0.000001      0.000000      0.000000      0.000001      0.000000      0.911480      0.911480           NaN           NaN      0.000020      0.000000
    6.899996      0.000000      0.000001      0.000001      0.100000      0.000000      0.000001      0.953145      0.834100      0.690283           NaN      0.000000      0.000014      0.000000
    6.999996      0.000000      0.000001      0.000001      0.100000      0.000000      0.000001      0.953145      0.798322      0.662962           NaN           NaN      0.000007      0.000000
    7.099996      0.000000      0.000001      0.000001      0.125000      0.000000      0.000001      0.930278      0.830091      0.653446           NaN           NaN      0.000007      0.000000
