   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
  0.70000005    0.01178943    0.12176289    0.10997345    0.09682288    0.03106601    0.19389938    0.37949625    0.62796944    0.48884609    2.77959538    6.00871325    0.04185683    0.00217849
  0.80000007    0.00955027    0.09923593    0.08968566    0.09623807    0.02506529    0.15719847    0.38101596    0.63127792    0.49206522    2.76458359    5.98644829    0.03751420    0.00178292
  0.90000010    0.00774157    0.08099854    0.07325697    0.09557666    0.02033029    0.12753293    0.38078997    0.63511866    0.49543744    2.74716806    5.97866774    0.03301618    0.00145806
  1.00000012    0.00629076    0.06620453    0.05991377    0.09502015    0.01646191    0.10373082    0.38214058    0.63823396    0.49848080    2.73757601    5.97748041    0.02866715    0.00117153
  1.10000014    0.00512331    0.05417457    0.04905126    0.09457047    0.01339420    0.08452161    0.38250235    0.64095533    0.50095338    2.73128915    5.99415874    0.02468286    0.00097090
  1.20000017    0.00418147    0.04437524    0.04019377    0.09422980    0.01092112    0.06892155    0.38287929    0.64385140    0.50341207    2.72229648    5.97389936    0.02106939    0.00078849
  1.30000019    0.00341627    0.03639227    0.03297600    0.09387363    0.00890462    0.05634740    0.38365200    0.64585543    0.50536370    2.69510698    5.92684937    0.01786874    0.00064319
  1.40000021    0.00279062    0.02985480    0.02706418    0.09347308    0.00727438    0.04611133    0.38362294    0.64745033    0.50695544    2.69015121    5.93306303    0.01507834    0.00051832
  1.50000024    0.00228236    0.02450975    0.02222739    0.09312048    0.00593672    0.03775013    0.38444808    0.64926267    0.50878906    2.68778539    5.94871473    0.01263847    0.00042291
  1.60000026    0.00187110    0.02012923    0.01825813    0.09295460    0.00487911    0.03091777    0.38349283    0.65105712    0.51004803    2.68567061    5.94138098    0.01057276    0.00035595
  1.70000029    0.00153364    0.01654557    0.01501193    0.09269216    0.00399320    0.02536296    0.38406456    0.65235192    0.51137245    2.67648053    5.91050243    0.00883509    0.00029209
  1.80000031    0.00125818    0.01360283    0.01234465    0.09249395    0.00326690    0.02081920    0.38512951    0.65337938    0.51252198    2.67137504    5.95066690    0.00735764    0.00023696
  1.90000033    0.00103748    0.01118990    0.01015242    0.09271616    0.00269858    0.01711611    0.38445535    0.65376455    0.51236826    2.67222166    5.95642757    0.00611463    0.00019514
  2.00000024    0.00085511    0.00921228    0.00835717    0.09282283    0.00222497    0.01408944    0.38432372    0.65384269    0.51225674    2.68812871    5.96086121    0.00506546    0.00016017
  2.10000014    0.00070034    0.00758057    0.00688023    0.09238619    0.00181005    0.01156760    0.38691777    0.65532798    0.51430798    2.65663218    5.90533066    0.00419752    0.00012921
  2.20000005    0.00057598    0.00623898    0.00566300    0.09231950    0.00150813    0.00952586    0.38191628    0.65495217    0.51323253    2.67208648    5.94047356    0.00347489    0.00010872
  2.29999995    0.00047485    0.00513886    0.00466401    0.09240376    0.00123740    0.00783391    0.38374764    0.65597618    0.51414931    2.64645171    5.92695093    0.00289517    0.00009282
  2.39999986    0.00039212    0.00423585    0.00384373    0.09257174    0.00102282    0.00646324    0.38337082    0.65537596    0.51345181    2.65345693    5.83828068    0.00238461    0.00007692
  2.49999976    0.00032194    0.00348718    0.00316524    0.09232102    0.00083906    0.00531249    0.38369226    0.65641207    0.51454401    2.68811536    5.97769833    0.00196965    0.00006444
  2.59999967    0.00026447    0.00287264    0.00260816    0.09206688    0.00068743    0.00438143    0.38473049    0.65563953    0.51454657    2.66128039    5.94948864    0.00162889    0.00005320
  2.69999957    0.00021752    0.00236504    0.00214752    0.09197288    0.00056370    0.00360354    0.38587826    0.65631205    0.51533526    2.64282966    5.88829422    0.00133829    0.00004428
  2.79999948    0.00018014    0.00195127    0.00177113    0.09231937    0.00046773    0.00297185    0.38513890    0.65658456    0.51492679    2.71088195    5.93794012    0.00110437    0.00003717
  2.89999938    0.00014759    0.00160644    0.00145885    0.09187678    0.00038086    0.00244570    0.38752791    0.65684420    0.51612121    2.62761211    5.88401842    0.00090587    0.00002825
  2.99999928    0.00012223    0.00132503    0.00120280    0.09224697    0.00031903    0.00201615    0.38312915    0.65720838    0.51507807    2.71054482    5.96871090    0.00074752    0.00002185
  3.09999919    0.00010078    0.00109020    0.00098941    0.09244634    0.00026517    0.00165149    0.38007522    0.66013223    0.51621872    2.70310163    5.91406441    0.00061727    0.00001797
  3.19999909    0.00008267    0.00089736    0.00081469    0.09212527    0.00021629    0.00136429    0.38222483    0.65775347    0.51544243    2.71220183    5.95865536    0.00050481    0.00001448
  3.29999900    0.00006810    0.00073820    0.00067009    0.09225820    0.00017545    0.00112036    0.38817531    0.65889239    0.51712281    2.64898658    5.83107948    0.00042330    0.00001086
  3.39999890    0.00005605    0.00060830    0.00055225    0.09214203    0.00014507    0.00092637    0.38635188    0.65665150    0.51542705    2.64250159    6.00204325    0.00035020    0.00000944
  3.49999881    0.00004620    0.00050155    0.00045535    0.09211352    0.00011963    0.00076493    0.38617477    0.65568721    0.51477832    2.64937592    5.72847986    0.00028718    0.00000776
  3.59999871    0.00003758    0.00041266    0.00037508    0.09107872    0.00009734    0.00062548    0.38610435    0.65975410    0.51890683    2.74975753    6.03135872    0.00023818    0.00000601
  3.69999862    0.00003077    0.00034027    0.00030950    0.09042687    0.00008011    0.00051759    0.38410160    0.65742004    0.51782626    2.56789899    5.97866011    0.00019494    0.00000536
  3.79999852    0.00002546    0.00028011    0.00025465    0.09089286    0.00006517    0.00042729    0.39066118    0.65554619    0.51709348    2.63949871    5.97575474    0.00015816    0.00000608
  3.89999843    0.00002092    0.00023079    0.00020987    0.09064321    0.00005388    0.00035192    0.38825431    0.65581518    0.51718444    2.64784360    6.28700829    0.00013205    0.00000459
  3.99999833    0.00001767    0.00019055    0.00017288    0.09273157    0.00004660    0.00029083    0.37917194    0.65519208    0.51233983    2.65451574    5.51630878    0.00010600    0.00000440
  4.09999847    0.00001449    0.00015729    0.00014280    0.09212282    0.00003705    0.00023925    0.39109448    0.65744293    0.51683891    2.76428986    6.09449530    0.00008416    0.00000304
  4.19999838    0.00001201    0.00012906    0.00011705    0.09305388    0.00003075    0.00019540    0.39058968    0.66050047    0.51759154    2.56104732    5.70816278    0.00007297    0.00000233
  4.29999828    0.00000994    0.00010686    0.00009692    0.09301891    0.00002522    0.00016326    0.39418504    0.65453529    0.51422596    2.68715787    5.74693775    0.00006063    0.00000213
  4.39999819    0.00000819    0.00008857    0.00008038    0.09246402    0.00002147    0.00013405    0.38141018    0.66075099    0.51686239    2.60878396    5.69667006    0.00004996    0.00000168
  4.49999809    0.00000671    0.00007288    0.00006617    0.09206916    0.00001802    0.00011132    0.37234604    0.65468687    0.51159239    2.80910897    6.05274630    0.00004247    0.00000175
  4.59999800    0.00000536    0.00005982    0.00005446    0.08959465    0.00001326    0.00009159    0.40413123    0.65317017    0.51943278    2.65166736    5.78256941    0.00003406    0.00000155
  4.69999790    0.00000459    0.00004971    0.00004512    0.09232626    0.00001208    0.00007564    0.38009712    0.65729570    0.51447052    2.50134468    4.90174341    0.00002876    0.00000136
  4.79999781    0.00000369    0.00004115    0.00003746    0.08967193    0.00000934    0.00006293    0.39488992    0.65385932    0.51827377    2.83079243    6.25116539    0.00002385    0.00000071
  4.89999771    0.00000300    0.00003374    0.00003073    0.08906343    0.00000707    0.00005060    0.42487952    0.66675723    0.53289324    2.53300619    5.73032284    0.00001933    0.00000078
  4.99999762    0.00000250    0.00002787    0.00002537    0.08986548    0.00000633    0.00004225    0.39545989    0.65977895    0.52219486    2.74574184    5.82428980    0.00001577    0.00000071
  5.09999752    0.00000204    0.00002298    0.00002094    0.08875354    0.00000490    0.00003454    0.41591629    0.66553015    0.53104353    2.72460818    6.07551575    0.00001183    0.00000045
  5.19999743    0.00000169    0.00001920    0.00001751    0.08802083    0.00000417    0.00002939    0.40570122    0.65321660    0.52177334    2.76377010    5.73322201    0.00001131    0.00000039
  5.29999733    0.00000135    0.00001581    0.00001446    0.08538900    0.00000323    0.00002400    0.41766638    0.65861869    0.53089488    3.02341151    8.74007893    0.00000911    0.00000032
  5.39999723    0.00000117    0.00001310    0.00001193    0.08966043    0.00000310    0.00002039    0.37908021    0.64258677    0.50779480    2.36316848    4.37167120    0.00000737    0.00000026
  5.49999714    0.00000102    0.00001074    0.00000972    0.09497207    0.00000262    0.00001617    0.38944954    0.66438454    0.51745015    2.56061792    5.28456306    0.00000543    0.00000006
  5.59999704    0.00000084    0.00000889    0.00000805    0.09443507    0.00000254    0.00001361    0.33073491    0.65334505    0.49862728    2.71233082    3.54904628    0.00000472    0.00000006
  5.69999695    0.00000062    0.00000725    0.00000663    0.08545830    0.00000160    0.00001084    0.38871434    0.66951156    0.53373516    2.31057692    4.54449797    0.00000517    0.00000013
  5.79999685    0.00000046    0.00000607    0.00000560    0.07660626    0.00000118    0.00000909    0.39417806    0.66811502    0.54603380    2.95283413    9.11031437    0.00000343    0.00000013
  5.89999676    0.00000040    0.00000508    0.00000467    0.07972442    0.00000100    0.00000775    0.40522987    0.65571761    0.53448910    2.45147467    6.70153666    0.00000284    0.00000006
  5.99999666    0.00000037    0.00000419    0.00000382    0.08830549    0.00000106    0.00000645    0.34883046    0.64944160    0.50849372    2.86081862    7.71261263    0.00000246    0.00000006
  6.09999657    0.00000032    0.00000349    0.00000316    0.09312321    0.00000082    0.00000556    0.39490882    0.62823522    0.49622005    3.07363939    5.29137945    0.00000194    0.00000000
  6.19999647    0.00000022    0.00000282    0.00000259    0.07978723    0.00000062    0.00000433    0.36124563    0.65067720    0.52352417    4.05375004   11.48562527    0.00000129    0.00000000
  6.29999638    0.00000018    0.00000231    0.00000213    0.07775378    0.00000042    0.00000345    0.42722499    0.67133838    0.55172819    4.32106590   16.65489197    0.00000110    0.00000000
  6.39999628    0.00000018    0.00000197    0.00000179    0.09137056    0.00000051    0.00000306    0.35282958    0.64409572    0.50158137    3.35675693    5.51999998    0.00000084    0.00000000
  6.49999619    0.00000014    0.00000156    0.00000142    0.08974358    0.00000041    0.00000225    0.34285012    0.69482106    0.53513736    2.38797832    5.23801374    0.00000071    0.00000000
  6.59999609    0.00000012    0.00000136    0.00000124    0.08791209    0.00000024    0.00000207    0.49460304    0.65954000    0.53843820    3.16279054    5.31249952    0.00000052    0.00000000
  6.69999599    0.00000010    0.00000111    0.00000101    0.08968610    0.00000024    0.00000163    0.41368040    0.68474287    0.54275721    2.22895622    0.00000000    0.00000052    0.00000006
  6.79999590    0.00000008    0.00000095    0.00000087    0.08421053    0.00000018    0.00000132    0.43282714    0.72094899    0.57901990    1.87242794    6.06666660    0.00000039    0.00000000
  6.89999580    0.00000007    0.00000084    0.00000077    0.08875740    0.00000013    0.00000119    0.59937620    0.71081322    0.58603740    3.30612254    3.59999990    0.00000019    0.00000000
  6.99999571    0.00000005    0.00000072    0.00000067    0.07586206    0.00000009    0.00000104    0.64281535    0.69661158    0.59486121    3.63354015   10.03676414    0.00000026    0.00000000
  7.09999561    0.00000005    0.00000060    0.00000054    0.09166666    0.00000014    0.00000082    0.38209468    0.73242545    0.56585789    1.68145156    4.63333321    0.00000026    0.00000000
  7.19999552    0.00000005    0.00000050    0.00000045    0.09900991    0.00000010    0.00000075    0.50946116    0.67178988    0.53537852    1.80223882    2.98148131    0.00000032    0.00000000
  7.29999542    0.00000004    0.00000043    0.00000038    0.10465116    0.00000008    0.00000070    0.53972554    0.61449593    0.49161303    1.70673084    3.73684216    0.00000019    0.00000000
  7.39999533    0.00000004    0.00000035    0.00000030    0.12857144    0.00000015    0.00000053    0.30600187    0.66289741    0.45182300      Infinity           NaN    0.00000026    0.00000000
  7.49999523    0.00000003    0.00000027    0.00000023    0.12962963    0.00000008    0.00000043    0.45620888    0.63044161    0.46535531    1.51794875    4.93333340    0.00000006    0.00000000
  7.59999514    0.00000003    0.00000021    0.00000018    0.13953489    0.00000006    0.00000036    0.48131484    0.58936375    0.43312398      Infinity           NaN    0.00000013    0.00000000
