"Wavelength","depth","alpha","phi","radiance"
1,0.2,32.5,60,0.00078601
1,0.2,32.5,120,0.015588
1,0.2,32.5,180,0.015692
1,0.2,32.5,240,0.00077104
1,0.2,32.5,300,0.00027999
1,0.2,37.5,0,0.00024515
1,0.2,37.5,60,0.00076469
1,0.2,37.5,120,0.060179
1,0.2,37.5,180,0.061084
1,0.2,37.5,240,0.0007631
1,0.2,37.5,300,0.00024266
1,0.2,42.500004,0,0.00021859
1,0.2,42.500004,60,0.00061107
1,0.2,42.500004,120,0.095212
1,0.2,42.500004,180,7.5399
1,0.2,42.500004,240,0.00060514
1,0.2,42.500004,300,0.00022584
1,0.2,47.499996,0,0.00027725
1,0.2,47.499996,60,0.00071992
1,0.2,47.499996,120,0.017744
1,0.2,47.499996,180,0.017727
1,0.2,47.499996,240,0.00073223
1,0.2,47.499996,300,0.0002812
1,0.2,52.5,0,0.00034836
1,0.2,52.5,60,0.00068335
1,0.2,52.5,120,0.010019
1,0.2,52.5,180,0.010032
1,0.2,52.5,240,0.00068969
1,0.2,52.5,300,0.00035153
1,0.2,57.5,0,0.00033855
1,0.2,57.5,60,0.00070512
1,0.2,57.5,120,0.0064592
1,0.2,57.5,180,0.0064786
1,0.2,57.5,240,0.00072576
1,0.2,57.5,300,0.0003522
1,0.2,62.5,0,0.00034318
1,0.2,62.5,60,0.00068756
1,0.2,62.5,120,0.0048146
1,0.2,62.5,180,0.0047746
1,0.2,62.5,240,0.0006718
1,0.2,62.5,300,0.00033436
1,0.2,67.5,0,0.00033999
1,0.2,67.5,60,0.00066637
1,0.2,67.5,120,0.0038054
1,0.2,67.5,180,0.0037888
1,0.2,67.5,240,0.00066374
1,0.2,67.5,300,0.0003403
1,0.2,72.500008,0,0.00036401
1,0.2,72.500008,60,0.00072248
1,0.2,72.500008,120,0.0032683
1,0.2,72.500008,180,0.0032175
1,0.2,72.500008,240,0.00069959
1,0.2,72.500008,300,0.00035561
1,0.2,77.500008,0,0.0003568
1,0.2,77.500008,60,0.00070169
1,0.2,77.500008,120,0.0030079
1,0.2,77.500008,180,0.0029919
1,0.2,77.500008,240,0.00070713
1,0.2,77.500008,300,0.00036897
1,0.2,82.5,0,0.00038686
1,0.2,82.5,60,0.00070945
1,0.2,82.5,120,0.0028429
1,0.2,82.5,180,0.0027968
1,0.2,82.5,240,0.00069169
1,0.2,82.5,300,0.00036487
1,0.2,87.5,0,0.00034276
1,0.2,87.5,60,0.000624
1,0.2,87.5,120,0.0023252
1,0.2,87.5,180,0.0025123
1,0.2,87.5,240,0.00067046
1,0.2,87.5,300,0.0003641
1,0.2,92.5,0,0.00032142
1,0.2,92.5,60,0.00050472
1,0.2,92.5,120,0.0014903
1,0.2,92.5,180,0.0014978
1,0.2,92.5,240,0.00051351
1,0.2,92.5,300,0.00030761
1,0.2,97.5,0,0.00026509
1,0.2,97.5,60,0.00042575
1,0.2,97.5,120,0.0011538
1,0.2,97.5,180,0.0011322
1,0.2,97.5,240,0.00042448
1,0.2,97.5,300,0.00025156
1,0.2,102.500008,0,0.00023485
1,0.2,102.500008,60,0.00035991
1,0.2,102.500008,120,0.00086973
1,0.2,102.500008,180,0.00087025
1,0.2,102.500008,240,0.00035421
1,0.2,102.500008,300,0.00024002
1,0.2,107.5,0,0.00021577
1,0.2,107.5,60,0.00031994
1,0.2,107.5,120,0.00066449
1,0.2,107.5,180,0.00066391
1,0.2,107.5,240,0.00030277
1,0.2,107.5,300,0.00022417
1,0.2,112.500008,0,0.00019839
1,0.2,112.500008,60,0.00026246
1,0.2,112.500008,120,0.00053018
1,0.2,112.500008,180,0.00052415
1,0.2,112.500008,240,0.00025921
1,0.2,112.500008,300,0.00020102
1,0.2,117.5,0,0.00019089
1,0.2,117.5,60,0.00022977
1,0.2,117.5,120,0.00042961
1,0.2,117.5,180,0.00043041
1,0.2,117.5,240,0.00023605
1,0.2,117.5,300,0.00018956
1,0.2,122.500008,0,0.00017688
1,0.2,122.500008,60,0.0002183
1,0.2,122.500008,120,0.00034773
1,0.2,122.500008,180,0.00034387
1,0.2,122.500008,240,0.0002154
1,0.2,122.500008,300,0.00018533
1,0.2,127.5,0,0.00018976
1,0.2,127.5,60,0.00019179
1,0.2,127.5,120,0.00029919
1,0.2,127.5,180,0.00029183
1,0.2,127.5,240,0.00018352
1,0.2,127.5,300,0.00018296
1,0.2,132.5,0,0.00016696
1,0.2,132.5,60,0.00018201
1,0.2,132.5,120,0.00025045
1,0.2,132.5,180,0.00023792
1,0.2,132.5,240,0.00019135
1,0.2,132.5,300,0.00017509
