   depth (m)           Eu            Ed             E            R*           Eou           Eod     meancosUP    meancosDown      meancos            rd            rup            Ld            Lu
  6.29999638    0.00000019    0.00000228    0.00000209    0.08508772    0.00000041    0.00000309    0.46822506    0.73691750    0.59459001    2.70882797    5.84102583    0.00000116    0.00000003
  6.39999628    0.00000017    0.00000189    0.00000172    0.08903021    0.00000043    0.00000255    0.39298698    0.73896855    0.57664162    2.53064275    7.02637529    0.00000099    0.00000004
  6.49999619    0.00000014    0.00000157    0.00000143    0.08853503    0.00000032    0.00000215    0.43975645    0.72906429    0.57946265    2.70984101    7.53276110    0.00000082    0.00000003
  6.59999609    0.00000012    0.00000130    0.00000118    0.09578544    0.00000024    0.00000177    0.52662361    0.73915559    0.58914888    2.33004618    4.08923101    0.00000068    0.00000003
  6.69999599    0.00000010    0.00000110    0.00000100    0.08759124    0.00000024    0.00000150    0.39399129    0.73224270    0.57457006    3.04433489    8.71786785    0.00000053    0.00000003
  6.79999590    0.00000008    0.00000091    0.00000083    0.08681319    0.00000018    0.00000128    0.44050354    0.70902866    0.56809390    3.53186917    7.81813526    0.00000042    0.00000002
  6.89999580    0.00000006    0.00000076    0.00000070    0.08026316    0.00000016    0.00000104    0.39107478    0.73273259    0.58582276    2.60299087    5.45212746    0.00000035    0.00000001
  6.99999571    0.00000005    0.00000065    0.00000060    0.07361963    0.00000011    0.00000086    0.42902419    0.75432581    0.61870676    1.93976605    7.84421492    0.00000030    0.00000001
  7.09999561    0.00000004    0.00000055    0.00000051    0.07608696    0.00000008    0.00000075    0.49826297    0.73425013    0.60998929    1.79838526    6.09346533    0.00000026    0.00000001
  7.19999552    0.00000004    0.00000046    0.00000042    0.08893710    0.00000011    0.00000064    0.38065913    0.71606821    0.55888122    3.24298120   10.28477573    0.00000021    0.00000001
  7.29999542    0.00000003    0.00000037    0.00000034    0.08266667    0.00000008    0.00000050    0.37047645    0.74401695    0.58533585    3.07990646    5.77594948    0.00000017    0.00000000
  7.39999533    0.00000002    0.00000031    0.00000028    0.07843138    0.00000008    0.00000043    0.29844278    0.71220171    0.55286419    3.24615383   10.01355934    0.00000015    0.00000000
  7.49999523    0.00000003    0.00000026    0.00000024    0.09923664    0.00000006    0.00000038    0.44237438    0.69682366    0.54282129    4.23684216    2.87500000    0.00000012    0.00000000
  7.59999514    0.00000002    0.00000022    0.00000020    0.08675800    0.00000004    0.00000031    0.51487654    0.70163685    0.57301778    2.70434785    6.91111135    0.00000010    0.00000000
